
2022/09/23 (15:38:30) | ===> btop++ v.1.2.9
2022/09/23 (15:38:30) | WARNING: Failed to set locale us_US.UTF-8 continuing anyway.

2022/09/24 (12:32:11) | ===> btop++ v.1.2.9
2022/09/24 (12:32:11) | WARNING: Failed to set locale Default.UTF-8 continuing anyway.

2022/09/25 (14:48:00) | ===> btop++ v.1.2.9
2022/09/25 (14:48:00) | WARNING: Failed to set locale Default.UTF-8 continuing anyway.

2022/09/26 (19:04:20) | ===> btop++ v.1.2.9
2022/09/26 (19:04:20) | WARNING: Failed to set locale Default.UTF-8 continuing anyway.

2022/09/30 (10:58:47) | ===> btop++ v.1.2.9
2022/09/30 (10:58:47) | WARNING: Failed to set locale us_US.UTF-8 continuing anyway.

2022/10/01 (16:50:52) | ===> btop++ v.1.2.9
2022/10/01 (16:50:52) | WARNING: Failed to set locale us_US.UTF-8 continuing anyway.
